2023-09-20 09:19:06,749 - INFO - Successfully crawled https://vapetravellers.eu/es/ετικέτα-προϊόντος/soltar/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Soltar - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 157906, Images: 45, Links: 171, Duration: 2.48 seconds
2023-09-20 09:19:13,887 - INFO - Successfully crawled https://vapetravellers.eu/προϊόν/dinner-lady-vape-pen-pro-2ml-20mg/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Dinner lady Vape Pen Pro 2ml 20mg - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 388388, Images: 83, Links: 380, Duration: 7.51 seconds
2023-09-20 09:19:15,975 - INFO - Successfully crawled https://vapetravellers.eu/προϊόν/dinner-lady-vape-pen-pro-2ml-20mg/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Dinner lady Vape Pen Pro 2ml 20mg - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 388388, Images: 83, Links: 380, Duration: 7.66 seconds
2023-09-20 09:19:17,825 - INFO - Successfully crawled https://vapetravellers.eu/fr/ετικέτα-προϊόντος/bobines-prefabriquees/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: bobines préfabriquées - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115992, Images: 30, Links: 120, Duration: 3.50 seconds
2023-09-20 09:19:18,497 - INFO - Successfully crawled https://vapetravellers.eu/προϊόν/dinner-lady-vape-pen-pro-2ml-20mg/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Dinner lady Vape Pen Pro 2ml 20mg - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 321791, Images: 83, Links: 380, Duration: 8.18 seconds
2023-09-20 09:19:18,941 - INFO - Successfully crawled https://vapetravellers.eu/fr/ετικέτα-προϊόντος/bobines-prefabriquees/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: bobines préfabriquées - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115992, Images: 30, Links: 120, Duration: 2.62 seconds
2023-09-20 09:19:20,322 - INFO - Successfully crawled https://vapetravellers.eu/προϊόν/dinner-lady-vape-pen-pro-2ml-20mg/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Dinner lady Vape Pen Pro 2ml 20mg - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 321770, Images: 83, Links: 380, Duration: 7.99 seconds
2023-09-20 09:19:20,932 - INFO - Successfully crawled https://vapetravellers.eu/fr/ετικέτα-προϊόντος/bobines-prefabriquees/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: bobines préfabriquées - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 116022, Images: 30, Links: 120, Duration: 2.60 seconds
2023-09-20 09:19:22,889 - INFO - Successfully crawled https://vapetravellers.eu/fr/ετικέτα-προϊόντος/bobines-prefabriquees/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: bobines préfabriquées - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 116001, Images: 30, Links: 120, Duration: 2.53 seconds
2023-09-20 09:19:25,013 - INFO - Successfully crawled https://vapetravellers.eu/en/ετικέτα-προϊόντος/juice-en-2/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: juice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 114456, Images: 30, Links: 120, Duration: 2.64 seconds
2023-09-20 09:19:27,061 - INFO - Successfully crawled https://vapetravellers.eu/en/ετικέτα-προϊόντος/juice-en-2/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: juice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 114456, Images: 30, Links: 120, Duration: 2.68 seconds
2023-09-20 09:19:28,982 - INFO - Successfully crawled https://vapetravellers.eu/en/ετικέτα-προϊόντος/juice-en-2/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: juice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 114487, Images: 30, Links: 120, Duration: 2.54 seconds
2023-09-20 09:19:31,133 - INFO - Successfully crawled https://vapetravellers.eu/en/ετικέτα-προϊόντος/juice-en-2/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: juice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 114466, Images: 30, Links: 120, Duration: 2.74 seconds
2023-09-20 09:19:33,368 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/citrus-hu/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Citrus - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 123717, Images: 33, Links: 131, Duration: 2.96 seconds
2023-09-20 09:19:35,048 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/citrus-hu/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Citrus - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 123717, Images: 33, Links: 131, Duration: 2.62 seconds
2023-09-20 09:19:37,124 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/citrus-hu/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Citrus - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 123747, Images: 33, Links: 131, Duration: 2.69 seconds
2023-09-20 09:19:39,112 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/citrus-hu/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Citrus - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 123726, Images: 33, Links: 131, Duration: 2.67 seconds
